Фото;Комнат;Метро;До ближайшего метро;Адрес;Дом;Full Address;Latitude;Longitude;Этаж/Этажность;Общая площадь;Жилая площадь;Кухня;Балкон;Лифт;Телефон;Санузел;Альтернатива;Цена в рублях;Цена в рублях за метр;Телефоны;Дата обновления;ИНКОМ;Источник
20;3;ВДНХ, Алексеевская, Бутырская;7п;Москва, Мира пр-т.;124 корпус 19;Москва, Мира пр-т. 124 корпус 19 ;55.8154274;37.6412547;7/8;78;50,9;9,3;Б;П;Нет;Р;Нет;23000000;294872;+7(495)363-0181;01.11.2022 8:00:11;Да;Авито, Циан, ДомКлик, Инком, Яндекс
20;3;ВДНХ, Алексеевская;20п;Москва, Рижский пр.;11;Москва, Рижский пр. 11 ;55.816764;37.662874;2/8;78,2;50;7,7;-;П;Да;Р;Да;24000000;306905;+7(495)363-0181;01.11.2022 8:00:05;Да;Авито, Циан, ДомКлик, Инком, Яндекс
15;1;Алексеевская;10п;Москва, Новоалексеевская ул.;16 корпус 2;Москва, Новоалексеевская ул. 16 корпус 2 ;55.80823359999999;37.6477517;4/19;42,7;;14,03;;П;;;;24338772;569995;+7(495)363-1003;01.11.2022 8:01:06;Да;Авито, Циан, ДомКлик, Инком
23;2;Алексеевская;15п;Москва, Рижский пр.;3;Москва, Рижский пр. 3 ;55.8118729;37.6586781;3/10;68;33,2;15,2;Б;2П;;Р;Нет;25000000;367647;+7(495)363-1600;01.11.2022 7:57:47;Да;Авито, Циан, Инком
40;2;Алексеевская;5п;Москва, Новоалексеевская ул.;16 корпус 2;Москва, Новоалексеевская ул. 16 корпус 2 ;55.80823359999999;37.6477517;7/19;50;26,6;10;Л;ПГ;Нет;С;Нет;26500000;530000;+7(495)363-0181;01.11.2022 8:02:43;Да;Авито, Циан, ДомКлик, Инком
20;3;Алексеевская, Рижская;8п;Москва, Кучин пер.;12;Москва, Кучин пер. 12 ;55.8031592;37.6387506;3/4;83,4;52,7;12;Бст;-;Нет;Р;Да;27000000;323741;+7(495)363-0181;01.11.2022 8:02:28;Да;Авито, Циан, Инком
23;3;Алексеевская;9п;Москва, 3-я Мытищинская ул.;14А;Москва, 3-я Мытищинская ул. 14А ;55.80350199999999;37.6460699;5/8;85;57;8,4;-;П;Да;С;Нет;27000000;317647;+7(495)363-6340;01.11.2022 8:05:07;Да;Авито, Циан, ДомКлик, Инком
15;3;Алексеевская, ВДНХ;10п;Москва, Маломосковская ул.;2 корпус 2;Москва, Маломосковская ул. 2 корпус 2 ;55.812713;37.640849;12/14;73,8;47,4;9,1;Л2;ПГ;Нет;Р;Нет;27290000;369783;+7(495)363-0181;01.11.2022 8:03:35;Да;Авито, Циан, ДомКлик, Инком
19;4;Алексеевская, ВДНХ, Рижская;2п;Москва, Мира пр-т.;112;Москва, Мира пр-т. 112 ;55.80758660000001;37.6380381;9/9;125,4;79,1;10,4;Б2;2П;Да;2;Нет;36000000;287081;+7(495)363-0181;01.11.2022 7:57:29;Да;Авито, Циан, ДомКлик, Инком, Яндекс
21;5;ВДНХ;8п;Москва, Космонавтов ул.;10 корпус 3;Москва, Космонавтов ул. 10 корпус 3 ;55.819984;37.65148;5/10;171;107,5;12;Л3;ПГ;Нет;3;Нет;55000000;321637;+7(495)363-0181;01.11.2022 7:57:29;Да;Авито, Циан, ДомКлик, Инком, Яндекс
16;1;ВДНХ, Алексеевская;3т 15п;Москва, Космонавтов ул.;18 корпус 2;Москва, Космонавтов ул. 18 корпус 2 ;55.8204089;37.65749290000001;3/5;11,7;8;2;;П;;С;Нет;3090000;264103;+7(985)911-3625;01.11.2022 8:04:48;Нет;Авито, Циан, ДомКлик
16;;ВДНХ, Алексеевская, Ростокино (МЦК);2т 12п;Москва, Космонавтов ул.;18 корпус 2;Москва, Космонавтов ул. 18 корпус 2 ;55.8204089;37.65749290000001;3/5;13,2;10;2;;П;;С;Нет;3390000;256818;+7(958)764-1764;01.11.2022 10:25:02;Нет;Авито, Циан, ДомКлик
18;2;Алексеевская, Рижская, ВДНХ;2п;Москва, Новоалексеевская ул.;4 корпус 2;Москва, Новоалексеевская ул. 4 корпус 2 ;55.8063096;37.6408904;8/12;38,1;24;6,3;Б;П;;Р;Нет;5000000;131234;+7(958)721-9751;01.11.2022 12:23:59;Нет;Авито, Циан, ДомКлик
7;1;ВДНХ, Алексеевская;3т 15п;Москва, Космонавтов ул.;18 корпус 2;Москва, Космонавтов ул. 18 корпус 2 ;55.8204089;37.65749290000001;3/5;24;20;4;Б;П;;С;;5690000;237083;+7(967)062-2145;01.11.2022 8:04:48;Нет;Авито, Циан, ДомКлик
6;1;ВДНХ, Алексеевская, Ростокино (МЦК);2т 10п;Москва, Бориса Галушкина ул.;10;Москва, Бориса Галушкина ул. 10 ;55.8245461;37.6530233;1/9;31,4;19;8;;П;;Р;Нет;7475850;238084;+7(918)170-1164;01.11.2022 10:21:00;Нет;Авито, Циан
13;;Рижская, Алексеевская, Марьина роща;19п;Москва, 2-я Мытищинская ул.;2 строение 8;Москва, 2-я Мытищинская ул. 2 строение 8 ;55.796961;37.644398;1/3;26,7;18;6;;;;С;Нет;7750000;290262;+7(965)359-0161;01.11.2022 10:22:15;Нет;Авито, Циан, ДомКлик, Яндекс
8;1;ВДНХ;2т;Москва, Ярославская ул.;17;Москва, Ярославская ул. 17 ;55.82248149999999;37.6484481;1/5;26,3;14;6;;;Да;С;Нет;7890000;300000;+7(915)424-3315;01.11.2022 10:24:31;Нет;Авито, Циан
6;1;Алексеевская, ВДНХ, Рижская;1т 7п;Москва, Новоалексеевская ул.;13 корпус 1;Москва, Новоалексеевская ул. 13 корпус 1 ;55.8102847;37.6473415;3/16;34,6;19;4;Л;ПГ;Да;С;Нет;8057850;232886;+7(918)170-1164;01.11.2022 12:22:12;Нет;Авито, Циан, Виннер
15;1;ВДНХ;12п;Москва, Константинова ул.;3;Москва, Константинова ул. 3 ;55.814121;37.6519679;1/9;32;18;6;;П;Нет;С;Нет;8480000;265000;+7(966)061-7327;01.11.2022 7:56:37;Нет;Авито, Циан, ДомКлик, Виннер
31;1;Алексеевская, ВДНХ, Рижская;1т 6п;Москва, Староалексеевская ул.;20;Москва, Староалексеевская ул. 20 ;55.81012519999999;37.64458370000001;5/12;21,9;18;3;;ПГ;;С;Нет;8500000;388128;+7(909)964-2154;01.11.2022 8:04:48;Нет;Циан, ДомКлик
9;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;18п;Москва, Бориса Галушкина ул.;21;Москва, Бориса Галушкина ул. 21 ;55.82211179999999;37.6647373;1/8;31,9;20,3;6;;П;;С;Нет;8700000;272727;+7(916)552-4597;01.11.2022 12:26:32;Нет;Циан
14;1;Алексеевская, Марьина роща, Рижская;15п;Москва, 2-я Мытищинская ул.;2 строение 8;Москва, 2-я Мытищинская ул. 2 строение 8 ;55.796961;37.644398;1/3;35;30;;;;Да;Р;Нет;8800000;251429;+7(963)659-9876;01.11.2022 10:23:55;Нет;Авито, Циан
11;1;Улица Сергея Эйзенштейна, ВДНХ, Выставочный центр;3т;Москва, Касаткина ул.;21;Москва, Касаткина ул. 21 ;55.8226492;37.6664752;4/8;30;18,2;6;Б;П;;С;Нет;9200000;306667;+7(919)030-7090;01.11.2022 12:27:13;Нет;Циан, ДомКлик
23;1;Алексеевская, ВДНХ, Выставочный центр;15п;Москва, Маломосковская ул.;29;Москва, Маломосковская ул. 29 ;55.8124487;37.6533615;1/9;32;18;5,2;;П;;С;Да;9300000;290625;+7(903)114-9138;01.11.2022 12:24:37;Нет;Циан
30;1;ВДНХ, Алексеевская, Выставочный центр;6п;Москва, Кибальчича ул.;2 корпус 4;Москва, Кибальчича ул. 2 корпус 4 ;55.814961;37.6425849;1/14;34;;10;Л;П;;С;Нет;9500000;279412;+7(966)059-0018, +7(962)962-5685;01.11.2022 12:25:50;Нет;Циан, ДомКлик
10;1;ВДНХ, Алексеевская;1т 5п;Москва, Ракетный б-р.;7;Москва, Ракетный б-р. 7 ;55.819398;37.645489;7/9;31;20,8;5,4;Б;П;;С;Нет;9800000;316129;+7(967)062-6974;01.11.2022 8:05:23;Нет;Циан, ДомКлик
9;1;Выставочный центр;11п;Москва, Бориса Галушкина ул.;10;Москва, Бориса Галушкина ул. 10 ;55.8245461;37.6530233;3/9;31;19;6;Л;П;Нет;Р;Нет;9800000;316129;+7(800)550-6799, +7(926)898-9030;01.11.2022 10:24:43;Нет;Авито, Циан, ДомКлик, ОГРК
15;;ВДНХ, Улица Сергея Эйзенштейна, Алексеевская;20п;Москва, Касаткина ул.;20;Москва, Касаткина ул. 20 ;55.8231788;37.664885;4/8;31;18;6;Б;П;Да;Р;Нет;9900000;319355;+7(966)058-2994;01.11.2022 12:25:15;Нет;Авито, Циан, ДомКлик, Яндекс
9;1;ВДНХ, Алексеевская;3т 18п;Москва, Константинова ул.;34 корпус 2;Москва, Константинова ул. 34 корпус 2 ;55.819926;37.661364;1/5;32;19;6;;;;Р;Нет;9900000;309375;+7(926)002-0067;01.11.2022 8:01:34;Нет;Циан, ДомКлик
19;1;-;;Москва, Бориса Галушкина ул.;12;Москва, Бориса Галушкина ул. 12 ;55.82397;37.6539;6/9;31,7;17,7;6;Б;ПГ;;2;Да;9900000;312303;+7(962)363-5397;01.11.2022 12:23:47;Нет;Авито, Циан, ДомКлик, Яндекс
6;1;ВДНХ, Выставочный центр, Ростокино (МЦК);9п;Москва, Бориса Галушкина ул.;18;Москва, Бориса Галушкина ул. 18 ;55.822231;37.656093;1/9;33,4;17,9;6;Л;П;Да;Р;Нет;10000000;299401;+7(925)573-3169;01.11.2022 12:22:28;Нет;Авито, Циан, ДомКлик, Юла, Яндекс
9;1;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;18п;Москва, Павла Корчагина ул.;16;Москва, Павла Корчагина ул. 16 ;55.817635;37.6618203;2/9;29,5;17,7;6;;П;;С;Нет;10100000;342373;+7(915)232-8061, +7(966)050-7252;01.11.2022 12:24:26;Нет;Авито, Циан, ДомКлик
19;1;Алексеевская, ВДНХ, Выставочный центр;15п;Москва, Маломосковская ул.;29;Москва, Маломосковская ул. 29 ;55.8124487;37.6533615;5/9;31,8;21,5;5,2;Б;П;Да;С;Нет;10300000;323899;+7(985)913-7525;01.11.2022 12:23:23;Нет;Циан
9;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;18п;Москва, Космонавтов ул.;28;Москва, Космонавтов ул. 28 ;55.820567;37.662475;6/9;32;21;5,5;Б;П;;С;Нет;10300000;321875;+7(903)142-6380;01.11.2022 12:26:26;Нет;Авито, Циан, ДомКлик
8;1;ВДНХ, Алексеевская, Сокольники;17п;Москва, Павла Корчагина ул.;11;Москва, Павла Корчагина ул. 11 ;55.81763669999999;37.66039610000001;8/12;32;19;9;Б;П;;Р;Нет;10300000;321875;+7(985)295-6219;01.11.2022 12:27:19;Нет;Циан, ДомКлик
26;1;Алексеевская, ВДНХ, Рижская;3п;Москва, Новоалексеевская ул.;5А;Москва, Новоалексеевская ул. 5А ;55.808007;37.640704;3/12;33;18;8;Б;П;;Р;Нет;10500000;318182;+7(916)533-1296, +7(906)714-7668;01.11.2022 12:28:14;Нет;Циан
5;2;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;18п;Москва, Павла Корчагина ул.;16;Москва, Павла Корчагина ул. 16 ;55.817635;37.6618203;6/9;34;21,5;5,5;Л;П;;С;Нет;10700000;314706;+7(909)934-2015;01.11.2022 12:27:51;Нет;Авито, Циан
11;1;ВДНХ, Алексеевская, Ростокино (МЦК);1т 8п;Москва, Ракетный б-р.;11 корпус 2;Москва, Ракетный б-р. 11 корпус 2 ;55.8196944;37.6522463;7/14;36;19;8,3;Л;П;;Р;Нет;10764000;299000;+7(958)616-4767;01.11.2022 10:24:00;Нет;Авито, Циан, ДомКлик
6;2;ВДНХ, Алексеевская;2т 12п;Москва, Константинова ул.;12;Москва, Константинова ул. 12 ;55.8163784;37.6560286;1/5;41;25,1;6;;;;С;Нет;10800000;263415;+7(905)563-3718;01.11.2022 7:59:18;Нет;Авито, Циан, ДомКлик, Яндекс
10;1;Алексеевская, ВДНХ, Рижская;4п;Москва, Новоалексеевская ул.;4 корпус 3;Москва, Новоалексеевская ул. 4 корпус 3 ;55.805982;37.641061;1/12;33;18;9,6;;П;;С;Нет;10800000;327273;+7(965)268-4982;01.11.2022 12:25:15;Нет;Циан
21;1;ВДНХ, Алексеевская;1т 6п;Москва, Космонавтов ул.;4;Москва, Космонавтов ул. 4 ;55.8208916;37.6462286;3/9;34;20;6;Б;П;;С;Нет;10890000;320294;+7(903)822-0784;01.11.2022 8:01:34;Нет;Авито, Циан, ДомКлик
28;2;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;6п;Москва, Мира пр-т.;180 корпус 2;Москва, Мира пр-т. 180 корпус 2 ;55.82415;37.6475;3/12;38,6;24;6;Б;П;Да;Р;Нет;10999000;284948;+7(909)938-5520;01.11.2022 12:23:36;Нет;Циан
21;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;19п;Москва, Бориса Галушкина ул.;23;Москва, Бориса Галушкина ул. 23 ;55.8214276;37.6652255;7/8;32;17;6;Б;П;;Р;Нет;11000000;343750;+7(926)104-5246;01.11.2022 12:26:14;Нет;Циан
18;2;Алексеевская, ВДНХ, Выставочный центр;13п;Москва, 1-й Рижский пер.;2 корпус 4;Москва, 1-й Рижский пер. 2 корпус 4 ;55.808898;37.653025;2/5;44,2;28;6,2;Б;;;С;Нет;11000000;248869;+7(963)641-8445;01.11.2022 12:28:07;Нет;Циан
9;1;Алексеевская, ВДНХ, Выставочный центр;7п;Москва, Новоалексеевская ул.;16 корпус 2;Москва, Новоалексеевская ул. 16 корпус 2 ;55.80823359999999;37.6477517;12/21;26;17;8;;ПГ;Да;С;Нет;11500000;442308;+7(966)058-8782;01.11.2022 10:24:56;Нет;Авито, Циан
24;1;ВДНХ;2т 15п;Москва, Константинова ул.;32 корпус 2;Москва, Константинова ул. 32 корпус 2 ;55.819416;37.66069;6/12;35;19,9;9,8;Б;П;;С;Да;11500000;328571;+7(909)667-1728;01.11.2022 8:00:11;Нет;Авито, Циан, ДомКлик
13;2;ВДНХ, Алексеевская, Улица академика Королёва;15п;Москва, Константинова ул.;3;Москва, Константинова ул. 3 ;55.814121;37.6519679;1/9;37,4;22,5;7,7;;П;;С;Нет;11680000;312299;+7(966)053-1406;01.11.2022 12:27:19;Нет;Авито, Циан, ДомКлик
14;2;ВДНХ;2т;Москва, Ярославская ул.;17;Москва, Ярославская ул. 17 ;55.82248149999999;37.6484481;5/5;39,2;29;6;;;Да;С;Нет;11760000;300000;+7(915)424-3315;01.11.2022 10:24:37;Нет;Авито, Циан
11;1;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;9п;Москва, Ракетный б-р.;9 корпус 2;Москва, Ракетный б-р. 9 корпус 2 ;55.81962499999999;37.6502016;14/14;32,6;18;8,8;Л;П;;С;Нет;11800000;361963;+7(916)332-4637;01.11.2022 12:23:59;Нет;Авито, Циан
12;1;ВДНХ, Алексеевская;1т 6п;Москва, Космонавтов ул.;4;Москва, Космонавтов ул. 4 ;55.8208916;37.6462286;9/9;33,2;18,6;6;Б;П;;Р;Нет;11800000;355422;+7(967)062-2446;01.11.2022 7:58:09;Нет;Авито, Циан, ДомКлик, Яндекс
13;1;Алексеевская, ВДНХ, Выставочный центр;15п;Москва, Рижский пр.;5;Москва, Рижский пр. 5 ;55.8130029;37.6594333;1/8;41,5;16;11,5;;П;;Р;Нет;11999999;289157;+7(965)250-5795;01.11.2022 12:25:21;Нет;Авито, Циан, ДомКлик
9;1;Алексеевская;3п;Москва, Староалексеевская ул.;20;Москва, Староалексеевская ул. 20 ;55.81012519999999;37.64458370000001;8/12;25;17;4;;ПГ;;С;Нет;12000000;480000;+7(966)047-0215;01.11.2022 12:26:20;Нет;Авито, Циан, ДомКлик
10;1;Алексеевская, ВДНХ, Рижская;2т 10п;Москва, Маломосковская ул.;14;Москва, Маломосковская ул. 14 ;55.8127677;37.6477996;14/21;48,1;20;14,5;Л;ПГ;;С;Нет;12085248;251253;+7(918)380-1969;01.11.2022 12:22:28;Нет;Авито, Циан
19;1;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;14п;Москва, Бориса Галушкина ул.;18;Москва, Бориса Галушкина ул. 18 ;55.822231;37.656093;6/9;41,2;21;8;Б;П;;Р;Нет;12100000;293689;+7(906)042-1455;01.11.2022 12:22:35;Нет;Авито, Циан, ДомКлик
17;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;20п;Москва, Рижский пр.;17;Москва, Рижский пр. 17 ;55.82005669999999;37.6657674;2/8;35;19;8;;П;;С;Нет;12300000;351429;+7(966)061-7322;01.11.2022 12:27:13;Нет;Авито, Циан
31;2;ВДНХ, Алексеевская, Комсомольская;10п;Москва, Константинова ул.;16;Москва, Константинова ул. 16 ;55.8173965;37.656637;3/5;45;35;7;БЛ;;;2;Да;12400000;275556;+7(915)195-9753;01.11.2022 12:23:09;Нет;Циан, ДомКлик
21;2;ВДНХ, Алексеевская, Выставочный центр;14п;Москва, Константинова ул.;8;Москва, Константинова ул. 8 ;55.8150748;37.6542703;2/5;42,7;26,8;5,3;Б;;;Р;Да;12450000;291569;+7(916)509-5976;01.11.2022 12:26:38;Нет;Авито, Циан, ДомКлик
10;2;ВДНХ;12п;Москва, Космонавтов ул.;16;Москва, Космонавтов ул. 16 ;55.820821;37.655958;6/9;38;26,6;7;Б;П;Нет;С;Нет;12490000;328684;+7(800)550-6799, +7(926)898-9030;01.11.2022 10:21:07;Нет;Авито, Циан, ДомКлик, Инком, ОГРК, Яндекс
18;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;20п;Москва, Рижский пр.;17;Москва, Рижский пр. 17 ;55.82005669999999;37.6657674;2/8;40,1;19,8;8;;П;;Р;Нет;12500000;311721;+7(906)613-7578;01.11.2022 12:24:42;Нет;Циан, ДомКлик
15;2;ВДНХ;15п;Москва, Константинова ул.;24 корпус 2;Москва, Константинова ул. 24 корпус 2 ;55.817908;37.658935;1/12;38;23;7;;П;;Р;Нет;12700000;334211;+7(964)638-7048;01.11.2022 12:28:14;Нет;Авито, Циан, ДомКлик
9;1;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;8п;Москва, Мира пр-т.;182;Москва, Мира пр-т. 182 ;55.8261236;37.6477684;3/9;35;21;8;Б;П;;Р;Да;13000000;371429;+7(966)047-1891;01.11.2022 12:26:26;Нет;Циан
9;1;Алексеевская, Рижская, ВДНХ;1т 6п;Москва, Новоалексеевская ул.;16 корпус 2;Москва, Новоалексеевская ул. 16 корпус 2 ;55.80823359999999;37.6477517;3/19;42;18;12,5;Б;П;;С;Нет;13386660;318730;+7(918)380-1969;01.11.2022 14:13:47;Нет;Авито, Циан
13;1;Алексеевская, ВДНХ, Рижская;1т 7п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;6/17;38,1;25,5;12,6;;ПГ;;С;Нет;13500000;354331;+7(985)863-1636;01.11.2022 14:13:59;Нет;Авито, Циан, Яндекс
10;2;Алексеевская, ВДНХ, Рижская;8п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;15/20;36;31;5;;ПГ;;2;Нет;13500000;375000;+7(966)054-2033;01.11.2022 12:23:36;Нет;Циан, ДомКлик
13;1;-;;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;6/17;38;14,04;12,3;Б;ПГ;Да;С;Нет;13500000;355263;+7(966)062-3317;01.11.2022 12:23:36;Нет;Авито, Циан, ДомКлик
12;2;ВДНХ;9п;Москва, Ракетный б-р.;9 корпус 1;Москва, Ракетный б-р. 9 корпус 1 ;55.8191324;37.6506285;2/12;38;21,4;6,5;Б;П;;Р;Нет;13590000;357632;+7(985)421-2562;01.11.2022 10:25:33;Нет;Авито, Циан, ДомКлик
23;2;ВДНХ, Алексеевская;3т 15п;Москва, Константинова ул.;12;Москва, Константинова ул. 12 ;55.8163784;37.6560286;5/5;42;25,7;6;Б;;;С;Да;13700000;326190;+7(909)620-6963;01.11.2022 8:02:43;Нет;Авито, Циан, ДомКлик
6;1;Алексеевская, ВДНХ, Рижская;11п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;17/20;35,5;;;;ПГ;;С;Нет;13700000;385915;+7(966)061-6911;01.11.2022 12:23:29;Нет;Циан, ДомКлик
15;2;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;18п;Москва, Бориса Галушкина ул.;21;Москва, Бориса Галушкина ул. 21 ;55.82211179999999;37.6647373;5/8;43,8;30;5,4;Б;П;Да;С;Нет;13700000;312785;+7(915)432-4425;01.11.2022 12:23:09;Нет;Авито, Циан
13;1;Алексеевская, ВДНХ;20п;Москва, Павла Корчагина ул.;13;Москва, Павла Корчагина ул. 13 ;55.818137;37.66077569999999;4/11;34;19;8;Л;П;;С;Да;13700000;402941;+7(962)360-6202;01.11.2022 12:25:10;Нет;Авито, Циан, ДомКлик
18;2;Алексеевская, ВДНХ, Рижская;3п;Москва, Новоалексеевская ул.;4 корпус 1;Москва, Новоалексеевская ул. 4 корпус 1 ;55.80669770000001;37.6406625;5/12;37,7;23,3;7;Б;П;Да;Р;Да;13750000;364721;+7(915)321-6136;01.11.2022 12:23:47;Нет;Авито, Циан, ДомКлик
13;1;Алексеевская, ВДНХ, Рижская;11п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;14/19;35,7;19,3;11;Б;Г;Да;С;Нет;13770000;385714;+7(966)027-3190;01.11.2022 10:23:10;Нет;Авито, Циан
7;1;Алексеевская, ВДНХ, Выставочный центр;10п;Москва, Новоалексеевская ул.;13 корпус 1;Москва, Новоалексеевская ул. 13 корпус 1 ;55.8102847;37.6473415;9/16;34,3;19;8;Л;ПГ;;С;Нет;13799999;402332;+7(963)634-4277, +7(985)621-2710;01.11.2022 12:27:26;Нет;Авито, Циан, ДомКлик
15;2;Алексеевская, ВДНХ, Рижская;8п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;2/3;43;34;6;;ПГ;;2;Нет;13800000;320930;+7(966)054-2033;01.11.2022 12:25:45;Нет;Авито, Циан, ДомКлик
21;2;ВДНХ, Улица Сергея Эйзенштейна, Выставочный центр;20п;Москва, Касаткина ул.;22;Москва, Касаткина ул. 22 ;55.8222482;37.6657762;3/9;42,1;25,8;6,4;Б;П;;Р;Нет;13800000;327791;+7(916)544-2402;01.11.2022 7:58:38;Нет;Циан
12;1;-;;Москва, Новоалексеевская ул.;13 корпус 1;Москва, Новоалексеевская ул. 13 корпус 1 ;55.8102847;37.6473415;9/16;36,2;20;10;Л;ПГ;Да;С;Нет;13800000;381215;+7(905)718-2917;01.11.2022 12:23:09;Нет;Авито, Циан, ДомКлик, Юла, Яндекс
17;2;Алексеевская, Рижская, Марьина роща;5п;Москва, Новоалексеевская ул.;11;Москва, Новоалексеевская ул. 11 ;55.8093228;37.6442668;10/14;39,1;23,7;6;Л;П;Да;Р;Нет;13890000;355243;+7(967)182-1798;01.11.2022 12:24:32;Нет;Авито, Циан, ДомКлик, Юла, Яндекс
23;2;ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна;10п;Москва, Космонавтов ул.;12;Москва, Космонавтов ул. 12 ;55.820828;37.6528769;9/9;35,2;20;6,4;Б;П;;С;Нет;13900000;394886;+7(985)514-9373;01.11.2022 12:24:42;Нет;Циан, ДомКлик
18;2;ВДНХ, Алексеевская, Ростокино (МЦК);1т 8п;Москва, Космонавтов ул.;12;Москва, Космонавтов ул. 12 ;55.820828;37.6528769;8/9;35;26;6;Б;П;;С;Нет;13900000;397143;+7(964)715-8677;01.11.2022 10:22:48;Нет;Авито, Циан
13;2;ВДНХ, Алексеевская, Выставочный центр;15п;Москва, Бориса Галушкина ул.;26;Москва, Бориса Галушкина ул. 26 ;55.8206569;37.6643767;7/8;51,4;31;6,8;Л;П;Да;Р;Нет;13900000;270428;+7(985)523-4401;01.11.2022 12:25:21;Нет;Авито, Циан, ДомКлик, Яндекс
